Quarter,CPI
Mar-97,94.5
Jun-97,93.1
Sep-97,95.4
Dec-97,96.3
Mar-98,96
Jun-98,99.7
Sep-98,97.2
Dec-98,98.4
Mar-99,99.3
Jun-99,97.9
Sep-99,97.2
Dec-99,98.3
Mar-00,100
Jun-00,99
Sep-00,100.5
Dec-00,104
Mar-01,102.5
Jun-01,102
Sep-01,104.3
Dec-01,104.3
Mar-02,104
Jun-02,104
Sep-02,104
Dec-02,105.8
Mar-03,106.2
Jun-03,106.5
Sep-03,106.7
Dec-03,107.7
Mar-04,105.9
Jun-04,104
Sep-04,112.6
Dec-04,112
Mar-05,110
Jun-05,110.7
Sep-05,110.7
Dec-05,112.8
Mar-06,116
Jun-06,115.9
Sep-06,116.4
Dec-06,116.5
Mar-07,119.1
Jun-07,116.8
Sep-07,113.3
Dec-07,115.2
Mar-08,114.9
Jun-08,114.9
Sep-08,114.6
Dec-08,114.4
Mar-09,117
Jun-09,115.4
Sep-09,115.3
Dec-09,115.6
Mar-10,116.7
Jun-10,117.7
Sep-10,118.5
Dec-10,119.9
Mar-11,118.3
Jun-11,117.7
Sep-11,119.2
Dec-11,120.3
Mar-12,119.2
Jun-12,117.8
Sep-12,122.4
Dec-12,124
Mar-13,119.8
Jun-13,119.1
Sep-13,119.8
Dec-13,124.6
Mar-14,124.9
Jun-14,120.5
Sep-14,121.1
Dec-14,120.9
Mar-15,119.4
Jun-15,118.4
Sep-15,119.5
Dec-15,122.7
Mar-16,120.2
Jun-16,117.8
Sep-16,119.1
Dec-16,120.9
Mar-17,118.8
Jun-17,116.2
Sep-17,120.8
Dec-17,123.1
Mar-18,120.8
Jun-18,119.7
Sep-18,119.9
Dec-18,121.8
Mar-19,124.4
Jun-19,124
Sep-19,124.9
Dec-19,125.6
Mar-20,124.1
Jun-20,122.7
Sep-20,123
Dec-20,125.3
Mar-21,123.6
Jun-21,124.5
Sep-21,126.2
Dec-21,125.8
